name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,lat,long
Yeshiva Gedolah Rabbinical College,Florida,FL,Private,4 Year,8500,8300,16800,8300,16800,27.664827,-81.515754
Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,8474,4128,12602,12550,21024,32.157435,-82.907123
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490,32.157435,-82.907123
Albany State University,Georgia,GA,Public,4 Year,8878,6726,15604,19802,28680,32.157435,-82.907123
Albany Technical College,Georgia,GA,Public,2 Year,NA,3246,3246,5916,5916,32.157435,-82.907123
Andrew College,Georgia,GA,Private,2 Year,10636,17388,28024,17388,28024,32.157435,-82.907123
Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251,32.157435,-82.907123
Ashworth College,Georgia,GA,For Profit,2 Year,NA,1399,1399,1399,1399,32.157435,-82.907123
Athens Technical College,Georgia,GA,Public,2 Year,NA,3292,3292,5962,5962,32.157435,-82.907123
Atlanta Metropolitan State College,Georgia,GA,Public,2 Year,NA,4008,4008,12088,12088,32.157435,-82.907123
Atlanta Technical College,Georgia,GA,Public,2 Year,NA,3350,3350,6020,6020,32.157435,-82.907123
Augusta Technical College,Georgia,GA,Public,2 Year,NA,3494,3494,6164,6164,32.157435,-82.907123
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436,32.157435,-82.907123
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326,32.157435,-82.907123
Beulah Heights University,Georgia,GA,Private,4 Year,6000,9880,15880,9880,15880,32.157435,-82.907123
Brenau University,Georgia,GA,Private,4 Year,12418,29050,41468,29050,41468,32.157435,-82.907123
Brewton-Parker College,Georgia,GA,Private,4 Year,7850,18690,26540,18690,26540,32.157435,-82.907123
Carver College,Georgia,GA,Private,4 Year,6600,13475,20075,13475,20075,32.157435,-82.907123
Central Georgia Technical College,Georgia,GA,Public,2 Year,NA,3308,3308,5978,5978,32.157435,-82.907123
Chattahoochee Technical College,Georgia,GA,Public,2 Year,NA,3350,3350,6020,6020,32.157435,-82.907123
Clark Atlanta University,Georgia,GA,Private,4 Year,9524,23436,32960,23436,32960,32.157435,-82.907123
Clayton State University,Georgia,GA,Public,4 Year,9994,6410,16404,19486,29480,32.157435,-82.907123
Coastal Pines Technical College,Georgia,GA,Public,2 Year,NA,3248,3248,5918,5918,32.157435,-82.907123
College of Coastal Georgia,Georgia,GA,Public,4 Year,9520,3971,13491,10578,20098,32.157435,-82.907123
Columbus State University,Georgia,GA,Public,4 Year,9880,7200,17080,20682,30562,32.157435,-82.907123
Columbus Technical College,Georgia,GA,Public,2 Year,NA,3312,3312,5982,5982,32.157435,-82.907123
Covenant College,Georgia,GA,Private,4 Year,10260,34330,44590,34330,44590,32.157435,-82.907123
Dalton State College,Georgia,GA,Public,4 Year,8950,4246,13196,12668,21618,32.157435,-82.907123
East Georgia State College,Georgia,GA,Public,2 Year,9084,3666,12750,11412,20496,32.157435,-82.907123
Emmanuel College,Georgia,GA,Private,4 Year,8136,20292,28428,20292,28428,32.157435,-82.907123
Emory University,Georgia,GA,Private,4 Year,14456,51306,65762,51306,65762,32.157435,-82.907123
Fort Valley State University,Georgia,GA,Public,4 Year,8372,6664,15036,19740,28112,32.157435,-82.907123
Georgia College and State University,Georgia,GA,Public,4 Year,11016,9346,20362,28060,39076,32.157435,-82.907123
Georgia Gwinnett College,Georgia,GA,Public,4 Year,12870,6124,18994,18552,31422,32.157435,-82.907123
Georgia Highlands College,Georgia,GA,Public,2 Year,NA,3844,3844,11590,11590,32.157435,-82.907123
Georgia Institute of Technology,Georgia,GA,Public,4 Year,11884,12424,24308,33020,44904,32.157435,-82.907123
Georgia Military College,Georgia,GA,Public,2 Year,NA,6120,6120,6120,6120,32.157435,-82.907123
Georgia Northwestern Technical College,Georgia,GA,Public,2 Year,NA,3460,3460,6258,6258,32.157435,-82.907123
Georgia Perimeter College,Georgia,GA,Public,2 Year,NA,3860,3860,11606,11606,32.157435,-82.907123
Georgia Piedmont Technical College,Georgia,GA,Public,2 Year,NA,3454,3454,6124,6124,32.157435,-82.907123
Georgia Southern University,Georgia,GA,Public,4 Year,10070,7422,17492,20904,30974,32.157435,-82.907123
Georgia Southwestern State University,Georgia,GA,Public,4 Year,8120,6336,14456,19412,27532,32.157435,-82.907123
Georgia State University,Georgia,GA,Public,4 Year,11378,10858,22236,29432,40810,32.157435,-82.907123
Gordon State College,Georgia,GA,Public,2 Year,6656,4292,10948,12714,19370,32.157435,-82.907123
Gupton Jones College of Funeral Service,Georgia,GA,Private,2 Year,NA,11750,11750,11750,11750,32.157435,-82.907123
Gwinnett College,Georgia,GA,For Profit,2 Year,NA,9850,9850,9850,9850,32.157435,-82.907123
Gwinnett Technical College,Georgia,GA,Public,2 Year,NA,3506,3506,6176,6176,32.157435,-82.907123
Kennesaw State University,Georgia,GA,Public,4 Year,11467,7432,18899,21158,32625,32.157435,-82.907123
LaGrange College,Georgia,GA,Private,4 Year,11630,30470,42100,30470,42100,32.157435,-82.907123
Life University,Georgia,GA,Private,4 Year,14400,13194,27594,13194,27594,32.157435,-82.907123
Luther Rice College and Seminary,Georgia,GA,Private,4 Year,NA,9520,9520,9520,9520,32.157435,-82.907123
Mercer University,Georgia,GA,Private,4 Year,11616,36894,48510,36894,48510,32.157435,-82.907123
Middle Georgia State University,Georgia,GA,Public,4 Year,9080,4608,13688,13568,22648,32.157435,-82.907123
Morehouse College,Georgia,GA,Private,4 Year,13438,27574,41012,27574,41012,32.157435,-82.907123
North Georgia Technical College,Georgia,GA,Public,2 Year,4000,3268,7268,5938,9938,32.157435,-82.907123
Oglethorpe University,Georgia,GA,Private,4 Year,13200,38100,51300,38100,51300,32.157435,-82.907123
Paine College,Georgia,GA,Private,4 Year,6662,15595,22257,15595,22257,32.157435,-82.907123
Piedmont College,Georgia,GA,Private,4 Year,10168,25920,36088,25920,36088,32.157435,-82.907123
Point University,Georgia,GA,Private,4 Year,7900,20600,28500,20600,28500,32.157435,-82.907123
Reinhardt University,Georgia,GA,Private,4 Year,10200,23300,33500,23300,33500,32.157435,-82.907123
Savannah College of Art and Design,Georgia,GA,Private,4 Year,14550,36630,51180,36630,51180,32.157435,-82.907123
Savannah State University,Georgia,GA,Public,4 Year,7762,6794,14556,19870,27632,32.157435,-82.907123
Savannah Technical College,Georgia,GA,Public,2 Year,NA,3278,3278,5948,5948,32.157435,-82.907123
Shorter University,Georgia,GA,Private,4 Year,9400,22370,31770,22370,31770,32.157435,-82.907123
South Georgia State College,Georgia,GA,Public,4 Year,8540,3810,12350,11556,20096,32.157435,-82.907123
Southeastern Technical College,Georgia,GA,Public,2 Year,NA,3368,3368,6740,6740,32.157435,-82.907123
Southern Crescent Technical College,Georgia,GA,Public,2 Year,NA,3372,3372,6042,6042,32.157435,-82.907123
Southern Regional Technical College,Georgia,GA,Public,2 Year,NA,3238,3238,5908,5908,32.157435,-82.907123
Spelman College,Georgia,GA,Private,4 Year,13865,29314,43179,29314,43179,32.157435,-82.907123
Thomas University,Georgia,GA,Private,4 Year,4800,16940,21740,16940,21740,32.157435,-82.907123
Toccoa Falls College,Georgia,GA,Private,4 Year,8330,22744,31074,22744,31074,32.157435,-82.907123
Truett McConnell University,Georgia,GA,Private,4 Year,7550,20230,27780,20230,27780,32.157435,-82.907123
University of Georgia,Georgia,GA,Public,4 Year,10038,11830,21868,30404,40442,32.157435,-82.907123
University of North Georgia,Georgia,GA,Public,4 Year,7876,7336,15212,21148,29024,32.157435,-82.907123
University of West Georgia,Georgia,GA,Public,4 Year,10918,7292,18210,20774,31692,32.157435,-82.907123
Valdosta State University,Georgia,GA,Public,4 Year,8110,7476,15586,20958,29068,32.157435,-82.907123
Wesleyan College,Georgia,GA,Private,4 Year,9860,23000,32860,23000,32860,32.157435,-82.907123
West Georgia Technical College,Georgia,GA,Public,2 Year,NA,3372,3372,6042,6042,32.157435,-82.907123
Wiregrass Georgia Technical College,Georgia,GA,Public,2 Year,NA,3328,3328,5998,5998,32.157435,-82.907123
Young Harris College,Georgia,GA,Private,4 Year,12372,29117,41489,29117,41489,32.157435,-82.907123
Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,6586,5560,12146,5560,12146,19.898682,-155.665857
Chaminade University of Honolulu,Hawaii,HI,Private,4 Year,13630,25374,39004,25374,39004,19.898682,-155.665857
Hawaii Pacific University,Hawaii,HI,Private,4 Year,14800,25980,40780,25980,40780,19.898682,-155.665857
Hawaii Tokai International College,Hawaii,HI,Private,2 Year,9000,13485,22485,13485,22485,19.898682,-155.665857
University of Hawaii at Hilo,Hawaii,HI,Public,4 Year,11406,7720,19126,20680,32086,19.898682,-155.665857
University of Hawaii at Manoa,Hawaii,HI,Public,4 Year,13689,11970,25659,34002,47691,19.898682,-155.665857
University of Hawaii: Hawaii Community College,Hawaii,HI,Public,2 Year,10418,3915,14333,10515,20933,19.898682,-155.665857
University of Hawaii: Honolulu Community College,Hawaii,HI,Public,2 Year,NA,3885,3885,10305,10305,19.898682,-155.665857
University of Hawaii: Kapiolani Community College,Hawaii,HI,Public,2 Year,NA,3915,3915,10335,10335,19.898682,-155.665857
University of Hawaii: Kauai Community College,Hawaii,HI,Public,2 Year,NA,3963,3963,10383,10383,19.898682,-155.665857
University of Hawaii: Leeward Community College,Hawaii,HI,Public,2 Year,NA,3915,3915,10335,10335,19.898682,-155.665857
University of Hawaii: Maui College,Hawaii,HI,Public,2 Year,NA,3989,3989,10409,10409,19.898682,-155.665857
University of Hawaii: West Oahu,Hawaii,HI,Public,4 Year,NA,7512,7512,20472,20472,19.898682,-155.665857
University of Hawaii: Windward Community College,Hawaii,HI,Public,2 Year,NA,3895,3895,10315,10315,19.898682,-155.665857
Boise Bible College,Idaho,ID,Private,4 Year,6200,12520,18720,12520,18720,44.068202,-114.742041
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468,44.068202,-114.742041
Brigham Young University-Idaho,Idaho,ID,Private,4 Year,4592,4118,8710,4118,8710,44.068202,-114.742041
College of Eastern Idaho,Idaho,ID,Public,2 Year,NA,5205,5205,8301,8301,44.068202,-114.742041
College of Idaho,Idaho,ID,Private,4 Year,9697,30155,39852,30155,39852,44.068202,-114.742041
College of Southern Idaho,Idaho,ID,Public,2 Year,5750,4200,9950,8550,14300,44.068202,-114.742041
College of Western Idaho,Idaho,ID,Public,2 Year,NA,4170,4170,9180,9180,44.068202,-114.742041
Idaho State University,Idaho,ID,Public,4 Year,7207,7420,14627,22940,30147,44.068202,-114.742041
Lewis-Clark State College,Idaho,ID,Public,4 Year,7580,6618,14198,19236,26816,44.068202,-114.742041
New Saint Andrews College,Idaho,ID,Private,4 Year,NA,12800,12800,12800,12800,44.068202,-114.742041
North Idaho College,Idaho,ID,Public,2 Year,7500,4245,11745,10815,18315,44.068202,-114.742041
Northwest Nazarene University,Idaho,ID,Private,4 Year,7400,29300,36700,29300,36700,44.068202,-114.742041
University of Idaho,Idaho,ID,Public,4 Year,8880,7864,16744,25500,34380,44.068202,-114.742041
American Academy of Art,Illinois,IL,Private,4 Year,NA,34100,34100,34100,34100,40.633125,-89.398528
Augustana College,Illinois,IL,Private,4 Year,10572,42135,52707,42135,52707,40.633125,-89.398528
Aurora University,Illinois,IL,Private,4 Year,11700,24260,35960,24260,35960,40.633125,-89.398528
Benedictine University,Illinois,IL,Private,4 Year,9480,34290,43770,34290,43770,40.633125,-89.398528
Black Hawk College,Illinois,IL,Public,2 Year,NA,4470,4470,7650,7650,40.633125,-89.398528
Blackburn College,Illinois,IL,Private,4 Year,7930,22410,30340,22410,30340,40.633125,-89.398528
Blessing-Rieman College of Nursing & Health Sciences,Illinois,IL,Private,4 Year,NA,25250,25250,25250,25250,40.633125,-89.398528
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380,40.633125,-89.398528
Carl Sandburg College,Illinois,IL,Public,2 Year,NA,5000,5000,8330,8330,40.633125,-89.398528
Chamberlain College Of Nursing: Tinley Park,Illinois,IL,For Profit,4 Year,NA,20850,20850,20850,20850,40.633125,-89.398528
Chicago State University,Illinois,IL,Public,4 Year,8724,12177,20901,20877,29601,40.633125,-89.398528
City Colleges of Chicago: Harold Washington College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544,40.633125,-89.398528
City Colleges of Chicago: Harry S. Truman College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544,40.633125,-89.398528
City Colleges of Chicago: Kennedy-King College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544,40.633125,-89.398528
City Colleges of Chicago: Malcolm X College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544,40.633125,-89.398528
City Colleges of Chicago: Olive-Harvey College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544,40.633125,-89.398528
City Colleges of Chicago: Richard J. Daley College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544,40.633125,-89.398528
City Colleges of Chicago: Wilbur Wright College,Illinois,IL,Public,2 Year,NA,3504,3504,11544,11544,40.633125,-89.398528
College of DuPage,Illinois,IL,Public,2 Year,NA,4080,4080,11790,11790,40.633125,-89.398528
College of Lake County,Illinois,IL,Public,2 Year,NA,4230,4230,13110,13110,40.633125,-89.398528
Columbia College Chicago,Illinois,IL,Private,4 Year,14012,27176,41188,27176,41188,40.633125,-89.398528
Concordia University Chicago,Illinois,IL,Private,4 Year,9748,32078,41826,32078,41826,40.633125,-89.398528
Danville Area Community College,Illinois,IL,Public,2 Year,NA,4650,4650,7950,7950,40.633125,-89.398528
DePaul University,Illinois,IL,Private,4 Year,14235,39975,54210,39975,54210,40.633125,-89.398528
Dominican University,Illinois,IL,Private,4 Year,10241,33434,43675,33434,43675,40.633125,-89.398528
East-West University,Illinois,IL,Private,4 Year,NA,20970,20970,20970,20970,40.633125,-89.398528
Eastern Illinois University,Illinois,IL,Public,4 Year,9882,11803,21685,14023,23905,40.633125,-89.398528
Elgin Community College,Illinois,IL,Public,2 Year,NA,3972,3972,14946,14946,40.633125,-89.398528
Elmhurst College,Illinois,IL,Private,4 Year,10366,37055,47421,37055,47421,40.633125,-89.398528
Eureka College,Illinois,IL,Private,4 Year,9620,25390,35010,25390,35010,40.633125,-89.398528
Governors State University,Illinois,IL,Public,4 Year,10346,12196,22542,21586,31932,40.633125,-89.398528
Greenville University,Illinois,IL,Private,4 Year,9048,27152,36200,27152,36200,40.633125,-89.398528
Harper College,Illinois,IL,Public,2 Year,NA,4578,4578,14553,14553,40.633125,-89.398528
Heartland Community College,Illinois,IL,Public,2 Year,NA,4590,4590,13110,13110,40.633125,-89.398528
Hebrew Theological College,Illinois,IL,Private,4 Year,12380,12920,25300,12920,25300,40.633125,-89.398528
Highland Community College,Illinois,IL,Public,2 Year,NA,5220,5220,8160,8160,40.633125,-89.398528
Illinois Central College,Illinois,IL,Public,2 Year,NA,4500,4500,11340,11340,40.633125,-89.398528
Illinois College,Illinois,IL,Private,4 Year,9280,33090,42370,33090,42370,40.633125,-89.398528
Illinois Eastern Community Colleges: Frontier Community College,Illinois,IL,Public,2 Year,NA,3730,3730,11008,11008,40.633125,-89.398528
Illinois Eastern Community Colleges: Lincoln Trail College,Illinois,IL,Public,2 Year,NA,3730,3730,11008,11008,40.633125,-89.398528
Illinois Eastern Community Colleges: Olney Central College,Illinois,IL,Public,2 Year,NA,3730,3730,11008,11008,40.633125,-89.398528
Illinois Eastern Community Colleges: Wabash Valley College,Illinois,IL,Public,2 Year,NA,3730,3730,11008,11008,40.633125,-89.398528
Illinois Institute of Technology,Illinois,IL,Private,4 Year,12762,47296,60058,47296,60058,40.633125,-89.398528
Illinois State University,Illinois,IL,Public,4 Year,9850,14516,24366,26040,35890,40.633125,-89.398528
Illinois Valley Community College,Illinois,IL,Public,2 Year,NA,4015,4015,11793,11793,40.633125,-89.398528
Illinois Wesleyan University,Illinois,IL,Private,4 Year,10984,47636,58620,47636,58620,40.633125,-89.398528
John A. Logan College,Illinois,IL,Public,2 Year,NA,3600,3600,5940,5940,40.633125,-89.398528
John Wood Community College,Illinois,IL,Public,2 Year,NA,4890,4890,8190,8190,40.633125,-89.398528
Joliet Junior College,Illinois,IL,Public,2 Year,NA,4380,4380,13140,13140,40.633125,-89.398528
Judson University,Illinois,IL,Private,4 Year,9988,29860,39848,29860,39848,40.633125,-89.398528
Kankakee Community College,Illinois,IL,Public,2 Year,NA,4620,4620,22382,22382,40.633125,-89.398528
Kaskaskia College,Illinois,IL,Public,2 Year,NA,4470,4470,12330,12330,40.633125,-89.398528
Kishwaukee College,Illinois,IL,Public,2 Year,NA,4770,4770,13290,13290,40.633125,-89.398528
Knox College,Illinois,IL,Private,4 Year,9870,46554,56424,46554,56424,40.633125,-89.398528
Lake Forest College,Illinois,IL,Private,4 Year,10390,47064,57454,47064,57454,40.633125,-89.398528
Lake Land College,Illinois,IL,Public,2 Year,NA,4110,4110,13736,13736,40.633125,-89.398528
Lakeview College of Nursing,Illinois,IL,Private,4 Year,NA,16320,16320,16320,16320,40.633125,-89.398528
Lewis and Clark Community College,Illinois,IL,Public,2 Year,NA,4440,4440,15690,15690,40.633125,-89.398528
Lewis University,Illinois,IL,Private,4 Year,10578,32450,43028,32450,43028,40.633125,-89.398528
Lincoln Christian University,Illinois,IL,Private,4 Year,7564,13200,20764,13200,20764,40.633125,-89.398528
Lincoln College,Illinois,IL,Private,2 Year,7700,18600,26300,18600,26300,40.633125,-89.398528
Lincoln Land Community College,Illinois,IL,Public,2 Year,NA,4215,4215,11985,11985,40.633125,-89.398528
Loyola University Chicago,Illinois,IL,Private,4 Year,14480,44048,58528,44048,58528,40.633125,-89.398528
MacCormac College,Illinois,IL,Private,2 Year,NA,13520,13520,13520,13520,40.633125,-89.398528
MacMurray College,Illinois,IL,Private,4 Year,9440,27690,37130,27690,37130,40.633125,-89.398528
McHenry County College,Illinois,IL,Public,2 Year,NA,3494,3494,14603,14603,40.633125,-89.398528
McKendree University,Illinois,IL,Private,4 Year,9920,30520,40440,30520,40440,40.633125,-89.398528
Methodist College,Illinois,IL,Private,4 Year,7440,20800,28240,20800,28240,40.633125,-89.398528
Midstate College,Illinois,IL,For Profit,4 Year,NA,10820,10820,10820,10820,40.633125,-89.398528
Millikin University,Illinois,IL,Private,4 Year,11818,35102,46920,35102,46920,40.633125,-89.398528
Monmouth College,Illinois,IL,Private,4 Year,8966,37674,46640,37674,46640,40.633125,-89.398528
Moody Bible Institute,Illinois,IL,Private,4 Year,11820,13565,25385,13565,25385,40.633125,-89.398528
Moraine Valley Community College,Illinois,IL,Public,2 Year,NA,4356,4356,11196,11196,40.633125,-89.398528
Morrison Institute of Technology,Illinois,IL,Private,2 Year,5200,16100,21300,16100,21300,40.633125,-89.398528
Morton College,Illinois,IL,Public,2 Year,NA,4080,4080,9840,9840,40.633125,-89.398528
National University of Health Sciences,Illinois,IL,Private,4 Year,NA,12609,12609,12609,12609,40.633125,-89.398528
National-Louis University,Illinois,IL,Private,4 Year,NA,10710,10710,10710,10710,40.633125,-89.398528
North Central College,Illinois,IL,Private,4 Year,11019,38880,49899,38880,49899,40.633125,-89.398528
North Park University,Illinois,IL,Private,4 Year,9866,29190,39056,29190,39056,40.633125,-89.398528
Northeastern Illinois University,Illinois,IL,Public,4 Year,11424,14022,25446,25907,37331,40.633125,-89.398528
Northern Illinois University,Illinois,IL,Public,4 Year,10880,12262,23142,12262,23142,40.633125,-89.398528
Northwestern College,Illinois,IL,For Profit,2 Year,12402,18485,30887,18485,30887,40.633125,-89.398528
Northwestern University,Illinois,IL,Private,4 Year,16626,54567,71193,54567,71193,40.633125,-89.398528
Oakton Community College,Illinois,IL,Public,2 Year,NA,4292,4292,13375,13375,40.633125,-89.398528
Olivet Nazarene University,Illinois,IL,Private,4 Year,7900,36070,43970,36070,43970,40.633125,-89.398528
Parkland College,Illinois,IL,Public,2 Year,NA,4920,4920,15870,15870,40.633125,-89.398528
Prairie State College,Illinois,IL,Public,2 Year,NA,5220,5220,13830,13830,40.633125,-89.398528
Principia College,Illinois,IL,Private,4 Year,11610,29470,41080,29470,41080,40.633125,-89.398528
Quincy University,Illinois,IL,Private,4 Year,10500,28462,38962,28462,38962,40.633125,-89.398528
Rend Lake College,Illinois,IL,Public,2 Year,NA,3900,3900,6600,6600,40.633125,-89.398528
Resurrection University,Illinois,IL,Private,4 Year,NA,26390,26390,26390,26390,40.633125,-89.398528
Richland Community College,Illinois,IL,Public,2 Year,NA,4410,4410,14490,14490,40.633125,-89.398528
Robert Morris University: Chicago,Illinois,IL,Private,4 Year,NA,28530,28530,28530,28530,40.633125,-89.398528
Rock Valley College,Illinois,IL,Public,2 Year,NA,3764,3764,15224,15224,40.633125,-89.398528
Rockford University,Illinois,IL,Private,4 Year,8660,30930,39590,30930,39590,40.633125,-89.398528
Roosevelt University,Illinois,IL,Private,4 Year,13223,29832,43055,29832,43055,40.633125,-89.398528
Rush University,Illinois,IL,Private,4 Year,NA,24900,24900,24900,24900,40.633125,-89.398528
Saint Anthony College of Nursing,Illinois,IL,Private,4 Year,NA,25948,25948,25948,25948,40.633125,-89.398528
Saint Xavier University,Illinois,IL,Private,4 Year,11340,33880,45220,33880,45220,40.633125,-89.398528
Sauk Valley Community College,Illinois,IL,Public,2 Year,NA,4470,4470,12120,12120,40.633125,-89.398528
School of the Art Institute of Chicago,Illinois,IL,Private,4 Year,15890,49270,65160,49270,65160,40.633125,-89.398528
Shawnee Community College,Illinois,IL,Public,2 Year,NA,3600,3600,5910,5910,40.633125,-89.398528
South Suburban College of Cook County,Illinois,IL,Public,2 Year,NA,5093,5093,12683,12683,40.633125,-89.398528
Southeastern Illinois College,Illinois,IL,Public,2 Year,NA,3480,3480,5700,5700,40.633125,-89.398528
Southern Illinois University Carbondale,Illinois,IL,Public,4 Year,10622,14704,25326,14704,25326,40.633125,-89.398528
Southern Illinois University Edwardsville,Illinois,IL,Public,4 Year,11121,12132,23253,25817,36938,40.633125,-89.398528
Southwestern Illinois College,Illinois,IL,Public,2 Year,NA,3660,3660,15870,15870,40.633125,-89.398528
Spoon River College,Illinois,IL,Public,2 Year,NA,4950,4950,11370,11370,40.633125,-89.398528
St. Augustine College,Illinois,IL,Private,4 Year,NA,11400,11400,11400,11400,40.633125,-89.398528
St. Francis Medical Center College of Nursing,Illinois,IL,Private,4 Year,3700,20460,24160,20460,24160,40.633125,-89.398528
St. John's College,Illinois,IL,Private,4 Year,NA,23695,23695,23695,23695,40.633125,-89.398528
Telshe Yeshiva-Chicago,Illinois,IL,Private,4 Year,NA,15000,15000,15000,15000,40.633125,-89.398528
Trinity Christian College,Illinois,IL,Private,4 Year,9790,30650,40440,30650,40440,40.633125,-89.398528
Trinity College of Nursing & Health Sciences,Illinois,IL,Private,4 Year,NA,24215,24215,24215,24215,40.633125,-89.398528
Trinity International University,Illinois,IL,Private,4 Year,9900,32390,42290,32390,42290,40.633125,-89.398528
Triton College,Illinois,IL,Public,2 Year,NA,4650,4650,12539,12539,40.633125,-89.398528
University of Chicago,Illinois,IL,Private,4 Year,16350,58230,74580,58230,74580,40.633125,-89.398528
University of Illinois at Chicago,Illinois,IL,Public,4 Year,12074,13764,25838,26980,39054,40.633125,-89.398528
University of Illinois at Urbana-Champaign,Illinois,IL,Public,4 Year,11308,15094,26402,31664,42972,40.633125,-89.398528
University of Illinois: Springfield,Illinois,IL,Public,4 Year,11660,11813,23473,21338,32998,40.633125,-89.398528
University of St. Francis,Illinois,IL,Private,4 Year,9544,32320,41864,32320,41864,40.633125,-89.398528
VanderCook College of Music,Illinois,IL,Private,4 Year,13192,28434,41626,28434,41626,40.633125,-89.398528
Waubonsee Community College,Illinois,IL,Public,2 Year,NA,4080,4080,11295,11295,40.633125,-89.398528
Western Illinois University,Illinois,IL,Public,4 Year,9630,11267,20897,11267,20897,40.633125,-89.398528
Wheaton College,Illinois,IL,Private,4 Year,10180,36420,46600,36420,46600,40.633125,-89.398528
Ancilla College,Indiana,IN,Private,2 Year,9600,17330,26930,17330,26930,40.551217,-85.602364
Anderson University,Indiana,IN,Private,4 Year,9890,30450,40340,30450,40340,40.551217,-85.602364
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702,40.551217,-85.602364
Bethel College,Indiana,IN,Private,4 Year,9000,28590,37590,28590,37590,40.551217,-85.602364
Butler University,Indiana,IN,Private,4 Year,13830,41120,54950,41120,54950,40.551217,-85.602364
Calumet College of St. Joseph,Indiana,IN,Private,4 Year,NA,19870,19870,19870,19870,40.551217,-85.602364
College of Court Reporting,Indiana,IN,For Profit,2 Year,NA,11250,11250,11250,11250,40.551217,-85.602364
Crossroads Bible College,Indiana,IN,Private,4 Year,NA,12400,12400,12400,12400,40.551217,-85.602364
DePauw University,Indiana,IN,Private,4 Year,13020,49704,62724,49704,62724,40.551217,-85.602364
Earlham College,Indiana,IN,Private,4 Year,10400,46450,56850,46450,56850,40.551217,-85.602364
Franklin College,Indiana,IN,Private,4 Year,9946,32010,41956,32010,41956,40.551217,-85.602364
Goshen College,Indiana,IN,Private,4 Year,10650,33700,44350,33700,44350,40.551217,-85.602364
Grace College,Indiana,IN,Private,4 Year,9134,24768,33902,24768,33902,40.551217,-85.602364
Hanover College,Indiana,IN,Private,4 Year,11580,37670,49250,37670,49250,40.551217,-85.602364
Holy Cross College,Indiana,IN,Private,4 Year,11500,30820,42320,30820,42320,40.551217,-85.602364
Huntington University,Indiana,IN,Private,4 Year,8668,26180,34848,26180,34848,40.551217,-85.602364
Indiana Institute of Technology,Indiana,IN,Private,4 Year,10020,26900,36920,26900,36920,40.551217,-85.602364
Indiana State University,Indiana,IN,Public,4 Year,10590,9090,19680,19836,30426,40.551217,-85.602364
Indiana University Bloomington,Indiana,IN,Public,4 Year,10465,10681,21146,35456,45921,40.551217,-85.602364
Indiana University East,Indiana,IN,Public,4 Year,NA,7344,7344,19400,19400,40.551217,-85.602364
Indiana University Kokomo,Indiana,IN,Public,4 Year,NA,7344,7344,19400,19400,40.551217,-85.602364
Indiana University Northwest,Indiana,IN,Public,4 Year,NA,7344,7344,19400,19400,40.551217,-85.602364
Indiana University South Bend,Indiana,IN,Public,4 Year,7309,7344,14653,19400,26709,40.551217,-85.602364
Indiana University Southeast,Indiana,IN,Public,4 Year,6780,7344,14124,19400,26180,40.551217,-85.602364
Indiana University-Purdue University Fort Wayne,Indiana,IN,Public,4 Year,5996,8450,14446,20288,26284,40.551217,-85.602364
Indiana University-Purdue University Indianapolis,Indiana,IN,Public,4 Year,8924,9465,18389,29821,38745,40.551217,-85.602364
Indiana Wesleyan University,Indiana,IN,Private,4 Year,8312,25980,34292,25980,34292,40.551217,-85.602364
Ivy Tech Community College: Bloomington,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402,40.551217,-85.602364
Ivy Tech Community College: Central Indiana,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402,40.551217,-85.602364
Ivy Tech Community College: Columbus,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402,40.551217,-85.602364
Ivy Tech Community College: Kokomo,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402,40.551217,-85.602364
Ivy Tech Community College: Lafayette,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402,40.551217,-85.602364
Ivy Tech Community College: Muncie,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402,40.551217,-85.602364
Ivy Tech Community College: North Central,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402,40.551217,-85.602364
Ivy Tech Community College: Northeast,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402,40.551217,-85.602364
